Objective_category,Objective,Guideline_category,Guideline,Frequency
Ecological,Ecological processes,Ecological,Comprehensiveness,11
Ecological,Ecological processes,Ecological,Adequacy,12
Ecological,Ecological processes,Ecological,Representativeness,8
Ecological,Ecological processes,Ecological,Precautionary principle,3
Ecological,Ecological processes,Ecological,Ecological importance,10
Ecological,Ecological processes,Ecological,Connectivity,12
Ecological,Ecological processes,Ecological,Sustainable-use,6
Ecological,Ecological processes,Ecological,Ecosystem services,1
Ecological,Ecological processes,Ecological,International borders,0
Ecological,Biodiversity conservation,Ecological,Comprehensiveness,19
Ecological,Biodiversity conservation,Ecological,Adequacy,24
Ecological,Biodiversity conservation,Ecological,Representativeness,18
Ecological,Biodiversity conservation,Ecological,Precautionary principle,6
Ecological,Biodiversity conservation,Ecological,Ecological importance,18
Ecological,Biodiversity conservation,Ecological,Connectivity,20
Ecological,Biodiversity conservation,Ecological,Sustainable-use,13
Ecological,Biodiversity conservation,Ecological,Ecosystem services,3
Ecological,Biodiversity conservation,Ecological,International borders,0
Ecological,Climate change,Ecological,Comprehensiveness,11
Ecological,Climate change,Ecological,Adequacy,12
Ecological,Climate change,Ecological,Representativeness,3
Ecological,Climate change,Ecological,Precautionary principle,2
Ecological,Climate change,Ecological,Ecological importance,13
Ecological,Climate change,Ecological,Connectivity,13
Ecological,Climate change,Ecological,Sustainable-use,8
Ecological,Climate change,Ecological,Ecosystem services,1
Ecological,Climate change,Ecological,International borders,1
Governance,Community governance,Ecological,Comprehensiveness,2
Governance,Community governance,Ecological,Adequacy,2
Governance,Community governance,Ecological,Representativeness,0
Governance,Community governance,Ecological,Precautionary principle,0
Governance,Community governance,Ecological,Ecological importance,2
Governance,Community governance,Ecological,Connectivity,2
Governance,Community governance,Ecological,Sustainable-use,2
Governance,Community governance,Ecological,Ecosystem services,0
Governance,Community governance,Ecological,International borders,0
Socioeconomic,Cultural value,Ecological,Comprehensiveness,3
Socioeconomic,Cultural value,Ecological,Adequacy,3
Socioeconomic,Cultural value,Ecological,Representativeness,3
Socioeconomic,Cultural value,Ecological,Precautionary principle,0
Socioeconomic,Cultural value,Ecological,Ecological importance,3
Socioeconomic,Cultural value,Ecological,Connectivity,3
Socioeconomic,Cultural value,Ecological,Sustainable-use,3
Socioeconomic,Cultural value,Ecological,Ecosystem services,1
Socioeconomic,Cultural value,Ecological,International borders,0
Socioeconomic,Livelihoods,Ecological,Comprehensiveness,4
Socioeconomic,Livelihoods,Ecological,Adequacy,4
Socioeconomic,Livelihoods,Ecological,Representativeness,1
Socioeconomic,Livelihoods,Ecological,Precautionary principle,0
