Citation,Guideline,Presence
ID02,Comprehensiveness,1
ID02,Adequacy,1
ID02,Representativeness,0
ID02,Precautionary principle,0
ID02,Ecological importance,1
ID02,Connectivity,1
ID02,Sustainable use,1
ID02,Ecosystem services,0
ID02,International borders,0
ID04,Comprehensiveness,1
ID04,Adequacy,1
ID04,Representativeness,1
ID04,Precautionary principle,1
ID04,Ecological importance,1
ID04,Connectivity,1
ID04,Sustainable use,0
ID04,Ecosystem services,0
ID04,International borders,0
ID06,Comprehensiveness,1
ID06,Adequacy,1
ID06,Representativeness,1
ID06,Precautionary principle,1
ID06,Ecological importance,1
ID06,Connectivity,1
ID06,Sustainable use,0
ID06,Ecosystem services,0
ID06,International borders,0
ID10,Comprehensiveness,1
ID10,Adequacy,1
ID10,Representativeness,0
ID10,Precautionary principle,0
ID10,Ecological importance,1
ID10,Connectivity,1
ID10,Sustainable use,1
ID10,Ecosystem services,0
ID10,International borders,0
ID12,Comprehensiveness,1
ID12,Adequacy,1
ID12,Representativeness,0
ID12,Precautionary principle,0
ID12,Ecological importance,1
ID12,Connectivity,1
ID12,Sustainable use,1
ID12,Ecosystem services,0
ID12,International borders,1
ID13,Comprehensiveness,0
ID13,Adequacy,1
ID13,Representativeness,0
ID13,Precautionary principle,0
ID13,Ecological importance,1
ID13,Connectivity,1
ID13,Sustainable use,0
ID13,Ecosystem services,1
ID13,International borders,0
ID18,Comprehensiveness,1
ID18,Adequacy,1
ID18,Representativeness,0
ID18,Precautionary principle,0
ID18,Ecological importance,1
ID18,Connectivity,1
ID18,Sustainable use,1
ID18,Ecosystem services,0
ID18,International borders,0
ID31,Comprehensiveness,1
ID31,Adequacy,1
ID31,Representativeness,0
ID31,Precautionary principle,0
ID31,Ecological importance,1
ID31,Connectivity,1
ID31,Sustainable use,1
ID31,Ecosystem services,0
ID31,International borders,0
ID38,Comprehensiveness,1
ID38,Adequacy,1
ID38,Representativeness,0
ID38,Precautionary principle,0
ID38,Ecological importance,1
ID38,Connectivity,1
ID38,Sustainable use,1
ID38,Ecosystem services,0
ID38,International borders,0
ID39,Comprehensiveness,1
ID39,Adequacy,0
ID39,Representativeness,0
ID39,Precautionary principle,0
ID39,Ecological importance,1
ID39,Connectivity,1
ID39,Sustainable use,0
ID39,Ecosystem services,0
ID39,International borders,0
ID55,Comprehensiveness,0
ID55,Adequacy,1
ID55,Representativeness,1
ID55,Precautionary principle,0
ID55,Ecological importance,1
ID55,Connectivity,1
ID55,Sustainable use,0
ID55,Ecosystem services,0
ID55,International borders,0
ID58,Comprehensiveness,1
ID58,Adequacy,1
ID58,Representativeness,0
ID58,Precautionary principle,0
ID58,Ecological importance,1
ID58,Connectivity,1
ID58,Sustainable use,1
ID58,Ecosystem services,0
ID58,International borders,0
ID60,Comprehensiveness,1
ID60,Adequacy,1
ID60,Representativeness,0
ID60,Precautionary principle,0
ID60,Ecological importance,1
ID60,Connectivity,1
ID60,Sustainable use,1
ID60,Ecosystem services,0
ID60,International borders,0
