Citation,Guideline,Presence
ID04,Comprehensiveness,1
ID04,Adequacy,1
ID04,Representativeness,1
ID04,Precautionary principle,1
ID04,Ecological importance,1
ID04,Connectivity,1
ID04,Sustainable use,0
ID04,Ecosystem services,0
ID04,International borders,0
ID06,Comprehensiveness,1
ID06,Adequacy,1
ID06,Representativeness,1
ID06,Precautionary principle,1
ID06,Ecological importance,1
ID06,Connectivity,1
ID06,Sustainable use,0
ID06,Ecosystem services,0
ID06,International borders,0
ID14,Comprehensiveness,0
ID14,Adequacy,1
ID14,Representativeness,0
ID14,Precautionary principle,0
ID14,Ecological importance,0
ID14,Connectivity,1
ID14,Sustainable use,0
ID14,Ecosystem services,0
ID14,International borders,0
ID15,Comprehensiveness,1
ID15,Adequacy,1
ID15,Representativeness,1
ID15,Precautionary principle,0
ID15,Ecological importance,1
ID15,Connectivity,1
ID15,Sustainable use,1
ID15,Ecosystem services,0
ID15,International borders,0
ID27,Comprehensiveness,1
ID27,Adequacy,1
ID27,Representativeness,1
ID27,Precautionary principle,1
ID27,Ecological importance,0
ID27,Connectivity,0
ID27,Sustainable use,0
ID27,Ecosystem services,0
ID27,International borders,0
ID30,Comprehensiveness,1
ID30,Adequacy,1
ID30,Representativeness,1
ID30,Precautionary principle,0
ID30,Ecological importance,0
ID30,Connectivity,1
ID30,Sustainable use,0
ID30,Ecosystem services,0
ID30,International borders,0
ID31,Comprehensiveness,1
ID31,Adequacy,1
ID31,Representativeness,0
ID31,Precautionary principle,0
ID31,Ecological importance,1
ID31,Connectivity,1
ID31,Sustainable use,1
ID31,Ecosystem services,0
ID31,International borders,0
ID35,Comprehensiveness,0
ID35,Adequacy,0
ID35,Representativeness,0
ID35,Precautionary principle,0
ID35,Ecological importance,1
ID35,Connectivity,1
ID35,Sustainable use,0
ID35,Ecosystem services,0
ID35,International borders,0
ID38,Comprehensiveness,1
ID38,Adequacy,1
ID38,Representativeness,0
ID38,Precautionary principle,0
ID38,Ecological importance,1
ID38,Connectivity,1
ID38,Sustainable use,1
ID38,Ecosystem services,0
ID38,International borders,0
ID51,Comprehensiveness,1
ID51,Adequacy,1
ID51,Representativeness,1
ID51,Precautionary principle,0
ID51,Ecological importance,1
ID51,Connectivity,1
ID51,Sustainable use,1
ID51,Ecosystem services,1
ID51,International borders,0
ID52,Comprehensiveness,1
ID52,Adequacy,1
ID52,Representativeness,1
ID52,Precautionary principle,0
ID52,Ecological importance,1
ID52,Connectivity,1
ID52,Sustainable use,0
ID52,Ecosystem services,0
ID52,International borders,0
ID58,Comprehensiveness,1
ID58,Adequacy,1
ID58,Representativeness,0
ID58,Precautionary principle,0
ID58,Ecological importance,1
ID58,Connectivity,1
ID58,Sustainable use,1
ID58,Ecosystem services,0
ID58,International borders,0
ID19,Comprehensiveness,1
ID19,Adequacy,1
ID19,Representativeness,1
ID19,Precautionary principle,0
ID19,Ecological importance,1
ID19,Connectivity,1
ID19,Sustainable use,1
ID19,Ecosystem services,0
ID19,International borders,0
