Citation,Guideline,Presence
ID01,Comprehensiveness,1
ID01,Adequacy,1
ID01,Representativeness,1
ID01,Precautionary principle,1
ID01,Ecological importance,1
ID01,Connectivity,1
ID01,Sustainable use,0
ID01,Ecosystem services,0
ID01,International borders,0
ID02,Comprehensiveness,1
ID02,Adequacy,1
ID02,Representativeness,0
ID02,Precautionary principle,0
ID02,Ecological importance,1
ID02,Connectivity,1
ID02,Sustainable use,1
ID02,Ecosystem services,0
ID02,International borders,0
ID04,Comprehensiveness,1
ID04,Adequacy,1
ID04,Representativeness,1
ID04,Precautionary principle,1
ID04,Ecological importance,1
ID04,Connectivity,1
ID04,Sustainable use,0
ID04,Ecosystem services,0
ID04,International borders,0
ID06,Comprehensiveness,1
ID06,Adequacy,1
ID06,Representativeness,1
ID06,Precautionary principle,1
ID06,Ecological importance,1
ID06,Connectivity,1
ID06,Sustainable use,0
ID06,Ecosystem services,0
ID06,International borders,0
ID08,Comprehensiveness,1
ID08,Adequacy,0
ID08,Representativeness,1
ID08,Precautionary principle,0
ID08,Ecological importance,1
ID08,Connectivity,0
ID08,Sustainable use,0
ID08,Ecosystem services,0
ID08,International borders,0
ID10,Comprehensiveness,1
ID10,Adequacy,1
ID10,Representativeness,0
ID10,Precautionary principle,0
ID10,Ecological importance,1
ID10,Connectivity,1
ID10,Sustainable use,1
ID10,Ecosystem services,0
ID10,International borders,0
ID14,Comprehensiveness,0
ID14,Adequacy,1
ID14,Representativeness,1
ID14,Precautionary principle,0
ID14,Ecological importance,0
ID14,Connectivity,0
ID14,Sustainable use,0
ID14,Ecosystem services,0
ID14,International borders,0
ID18,Comprehensiveness,1
ID18,Adequacy,1
ID18,Representativeness,1
ID18,Precautionary principle,0
ID18,Ecological importance,1
ID18,Connectivity,1
ID18,Sustainable use,1
ID18,Ecosystem services,0
ID18,International borders,0
ID19,Comprehensiveness,1
ID19,Adequacy,1
ID19,Representativeness,1
ID19,Precautionary principle,0
ID19,Ecological importance,1
ID19,Connectivity,0
ID19,Sustainable use,1
ID19,Ecosystem services,0
ID19,International borders,0
ID21,Comprehensiveness,1
ID21,Adequacy,0
ID21,Representativeness,1
ID21,Precautionary principle,0
ID21,Ecological importance,1
ID21,Connectivity,0
ID21,Sustainable use,1
ID21,Ecosystem services,0
ID21,International borders,0
ID24,Comprehensiveness,1
ID24,Adequacy,1
ID24,Representativeness,1
ID24,Precautionary principle,0
ID24,Ecological importance,0
ID24,Connectivity,1
ID24,Sustainable use,0
ID24,Ecosystem services,0
ID24,International borders,0
ID25,Comprehensiveness,0
ID25,Adequacy,1
ID25,Representativeness,1
ID25,Precautionary principle,0
ID25,Ecological importance,1
ID25,Connectivity,1
ID25,Sustainable use,0
ID25,Ecosystem services,1
ID25,International borders,0
ID26,Comprehensiveness,0
ID26,Adequacy,1
ID26,Representativeness,1
ID26,Precautionary principle,0
ID26,Ecological importance,0
ID26,Connectivity,1
ID26,Sustainable use,0
ID26,Ecosystem services,0
ID26,International borders,0
ID27,Comprehensiveness,1
ID27,Adequacy,1
ID27,Representativeness,1
ID27,Precautionary principle,1
ID27,Ecological importance,0
ID27,Connectivity,0
ID27,Sustainable use,0
ID27,Ecosystem services,0
ID27,International borders,0
ID33,Comprehensiveness,0
ID33,Adequacy,1
ID33,Representativeness,0
ID33,Precautionary principle,0
ID33,Ecological importance,0
ID33,Connectivity,1
ID33,Sustainable use,0
ID33,Ecosystem services,0
ID33,International borders,0
ID36,Comprehensiveness,0
ID36,Adequacy,1
ID36,Representativeness,1
ID36,Precautionary principle,0
ID36,Ecological importance,1
ID36,Connectivity,1
ID36,Sustainable use,0
ID36,Ecosystem services,0
ID36,International borders,0
ID41,Comprehensiveness,1
ID41,Adequacy,1
ID41,Representativeness,1
ID41,Precautionary principle,0
ID41,Ecological importance,0
ID41,Connectivity,0
ID41,Sustainable use,0
ID41,Ecosystem services,0
ID41,International borders,0
ID11,Comprehensiveness,1
ID11,Adequacy,1
ID11,Representativeness,1
ID11,Precautionary principle,0
ID11,Ecological importance,1
ID11,Connectivity,1
ID11,Sustainable use,1
ID11,Ecosystem services,1
ID11,International borders,0
ID15,Comprehensiveness,1
ID15,Adequacy,1
ID15,Representativeness,1
ID15,Precautionary principle,0
ID15,Ecological importance,1
ID15,Connectivity,1
ID15,Sustainable use,1
ID15,Ecosystem services,0
ID15,International borders,0
ID44,Comprehensiveness,0
ID44,Adequacy,0
ID44,Representativeness,0
ID44,Precautionary principle,1
ID44,Ecological importance,1
ID44,Connectivity,1
ID44,Sustainable use,0
ID44,Ecosystem services,0
ID44,International borders,0
ID46,Comprehensiveness,0
ID46,Adequacy,1
ID46,Representativeness,1
ID46,Precautionary principle,0
ID46,Ecological importance,1
ID46,Connectivity,0
ID46,Sustainable use,1
ID46,Ecosystem services,0
ID46,International borders,0
ID48,Comprehensiveness,1
ID48,Adequacy,1
ID48,Representativeness,1
ID48,Precautionary principle,1
ID48,Ecological importance,0
ID48,Connectivity,1
ID48,Sustainable use,0
ID48,Ecosystem services,0
ID48,International borders,0
ID51,Comprehensiveness,1
ID51,Adequacy,1
ID51,Representativeness,1
ID51,Precautionary principle,0
ID51,Ecological importance,1
ID51,Connectivity,1
ID51,Sustainable use,1
ID51,Ecosystem services,1
ID51,International borders,0
ID54,Comprehensiveness,0
ID54,Adequacy,1
ID54,Representativeness,0
ID54,Precautionary principle,0
ID54,Ecological importance,0
ID54,Connectivity,1
ID54,Sustainable use,1
ID54,Ecosystem services,0
ID54,International borders,0
ID58,Comprehensiveness,1
ID58,Adequacy,1
ID58,Representativeness,0
ID58,Precautionary principle,0
ID58,Ecological importance,1
ID58,Connectivity,1
ID58,Sustainable use,1
ID58,Ecosystem services,0
ID58,International borders,0
ID60,Comprehensiveness,1
ID60,Adequacy,1
ID60,Representativeness,0
ID60,Precautionary principle,0
ID60,Ecological importance,1
ID60,Connectivity,1
ID60,Sustainable use,1
ID60,Ecosystem services,0
ID60,International borders,0
ID62,Comprehensiveness,1
ID62,Adequacy,1
ID62,Representativeness,0
ID62,Precautionary principle,0
ID62,Ecological importance,0
ID62,Connectivity,0
ID62,Sustainable use,1
ID62,Ecosystem services,0
ID62,International borders,0
