Citation,Guideline,Presence
ID03,Comprehensiveness,0
ID03,Adequacy,1
ID03,Representativeness,0
ID03,Precautionary principle,0
ID03,Ecological importance,1
ID03,Connectivity,1
ID03,Sustainable use,1
ID03,Ecosystem services,0
ID03,International borders,0
ID04,Comprehensiveness,1
ID04,Adequacy,1
ID04,Representativeness,1
ID04,Precautionary principle,1
ID04,Ecological importance,1
ID04,Connectivity,1
ID04,Sustainable use,0
ID04,Ecosystem services,0
ID04,International borders,0
ID06,Comprehensiveness,1
ID06,Adequacy,1
ID06,Representativeness,1
ID06,Precautionary principle,1
ID06,Ecological importance,1
ID06,Connectivity,1
ID06,Sustainable use,0
ID06,Ecosystem services,0
ID06,International borders,0
ID07,Comprehensiveness,0
ID07,Adequacy,1
ID07,Representativeness,0
ID07,Precautionary principle,0
ID07,Ecological importance,1
ID07,Connectivity,1
ID07,Sustainable use,1
ID07,Ecosystem services,0
ID07,International borders,0
ID11,Comprehensiveness,1
ID11,Adequacy,1
ID11,Representativeness,1
ID11,Precautionary principle,0
ID11,Ecological importance,1
ID11,Connectivity,1
ID11,Sustainable use,1
ID11,Ecosystem services,1
ID11,International borders,0
ID14,Comprehensiveness,0
ID14,Adequacy,1
ID14,Representativeness,1
ID14,Precautionary principle,0
ID14,Ecological importance,0
ID14,Connectivity,0
ID14,Sustainable use,0
ID14,Ecosystem services,0
ID14,International borders,0
ID15,Comprehensiveness,1
ID15,Adequacy,1
ID15,Representativeness,1
ID15,Precautionary principle,0
ID15,Ecological importance,1
ID15,Connectivity,1
ID15,Sustainable use,1
ID15,Ecosystem services,0
ID15,International borders,0
ID16,Comprehensiveness,1
ID16,Adequacy,1
ID16,Representativeness,1
ID16,Precautionary principle,0
ID16,Ecological importance,1
ID16,Connectivity,1
ID16,Sustainable use,1
ID16,Ecosystem services,0
ID16,International borders,0
ID17,Comprehensiveness,1
ID17,Adequacy,1
ID17,Representativeness,0
ID17,Precautionary principle,0
ID17,Ecological importance,1
ID17,Connectivity,1
ID17,Sustainable use,1
ID17,Ecosystem services,0
ID17,International borders,0
ID19,Comprehensiveness,1
ID19,Adequacy,1
ID19,Representativeness,1
ID19,Precautionary principle,0
ID19,Ecological importance,1
ID19,Connectivity,1
ID19,Sustainable use,1
ID19,Ecosystem services,0
ID19,International borders,0
ID20,Comprehensiveness,0
ID20,Adequacy,1
ID20,Representativeness,1
ID20,Precautionary principle,1
ID20,Ecological importance,1
ID20,Connectivity,1
ID20,Sustainable use,1
ID20,Ecosystem services,0
ID20,International borders,0
ID27,Comprehensiveness,1
ID27,Adequacy,1
ID27,Representativeness,1
ID27,Precautionary principle,1
ID27,Ecological importance,0
ID27,Connectivity,0
ID27,Sustainable use,0
ID27,Ecosystem services,0
ID27,International borders,0
ID29,Comprehensiveness,0
ID29,Adequacy,1
ID29,Representativeness,1
ID29,Precautionary principle,1
ID29,Ecological importance,1
ID29,Connectivity,1
ID29,Sustainable use,1
ID29,Ecosystem services,0
ID29,International borders,0
ID31,Comprehensiveness,1
ID31,Adequacy,1
ID31,Representativeness,0
ID31,Precautionary principle,0
ID31,Ecological importance,1
ID31,Connectivity,1
ID31,Sustainable use,1
ID31,Ecosystem services,0
ID31,International borders,0
ID32,Comprehensiveness,1
ID32,Adequacy,1
ID32,Representativeness,0
ID32,Precautionary principle,0
ID32,Ecological importance,1
ID32,Connectivity,1
ID32,Sustainable use,0
ID32,Ecosystem services,0
ID32,International borders,0
ID34,Comprehensiveness,1
ID34,Adequacy,1
ID34,Representativeness,0
ID34,Precautionary principle,0
ID34,Ecological importance,1
ID34,Connectivity,1
ID34,Sustainable use,1
ID34,Ecosystem services,0
ID34,International borders,0
ID37,Comprehensiveness,0
ID37,Adequacy,1
ID37,Representativeness,1
ID37,Precautionary principle,1
ID37,Ecological importance,1
ID37,Connectivity,1
ID37,Sustainable use,1
ID37,Ecosystem services,0
ID37,International borders,0
ID38,Comprehensiveness,1
ID38,Adequacy,1
ID38,Representativeness,0
ID38,Precautionary principle,0
ID38,Ecological importance,1
ID38,Connectivity,1
ID38,Sustainable use,1
ID38,Ecosystem services,0
ID38,International borders,0
ID40,Comprehensiveness,1
ID40,Adequacy,1
ID40,Representativeness,0
ID40,Precautionary principle,1
ID40,Ecological importance,1
ID40,Connectivity,1
ID40,Sustainable use,1
ID40,Ecosystem services,0
ID40,International borders,0
ID42,Comprehensiveness,1
ID42,Adequacy,1
ID42,Representativeness,0
ID42,Precautionary principle,0
ID42,Ecological importance,0
ID42,Connectivity,1
ID42,Sustainable use,0
ID42,Ecosystem services,0
ID42,International borders,0
ID43,Comprehensiveness,0
ID43,Adequacy,1
ID43,Representativeness,0
ID43,Precautionary principle,0
ID43,Ecological importance,1
ID43,Connectivity,0
ID43,Sustainable use,1
ID43,Ecosystem services,0
ID43,International borders,0
ID44,Comprehensiveness,0
ID44,Adequacy,0
ID44,Representativeness,0
ID44,Precautionary principle,1
ID44,Ecological importance,1
ID44,Connectivity,0
ID44,Sustainable use,1
ID44,Ecosystem services,0
ID44,International borders,0
ID47,Comprehensiveness,0
ID47,Adequacy,1
ID47,Representativeness,0
ID47,Precautionary principle,0
ID47,Ecological importance,1
ID47,Connectivity,1
ID47,Sustainable use,0
ID47,Ecosystem services,0
ID47,International borders,0
ID49,Comprehensiveness,0
ID49,Adequacy,1
ID49,Representativeness,0
ID49,Precautionary principle,0
ID49,Ecological importance,1
ID49,Connectivity,1
ID49,Sustainable use,0
ID49,Ecosystem services,0
ID49,International borders,0
ID51,Comprehensiveness,1
ID51,Adequacy,1
ID51,Representativeness,1
ID51,Precautionary principle,0
ID51,Ecological importance,1
ID51,Connectivity,1
ID51,Sustainable use,1
ID51,Ecosystem services,1
ID51,International borders,0
ID53,Comprehensiveness,0
ID53,Adequacy,1
ID53,Representativeness,0
ID53,Precautionary principle,0
ID53,Ecological importance,1
ID53,Connectivity,1
ID53,Sustainable use,1
ID53,Ecosystem services,0
ID53,International borders,0
ID56,Comprehensiveness,1
ID56,Adequacy,1
ID56,Representativeness,0
ID56,Precautionary principle,1
ID56,Ecological importance,1
ID56,Connectivity,1
ID56,Sustainable use,0
ID56,Ecosystem services,0
ID56,International borders,0
ID57,Comprehensiveness,0
ID57,Adequacy,1
ID57,Representativeness,1
ID57,Precautionary principle,0
ID57,Ecological importance,1
ID57,Connectivity,1
ID57,Sustainable use,0
ID57,Ecosystem services,0
ID57,International borders,0
ID59,Comprehensiveness,1
ID59,Adequacy,1
ID59,Representativeness,0
ID59,Precautionary principle,0
ID59,Ecological importance,1
ID59,Connectivity,1
ID59,Sustainable use,1
ID59,Ecosystem services,0
ID59,International borders,0
ID61,Comprehensiveness,1
ID61,Adequacy,1
ID61,Representativeness,0
ID61,Precautionary principle,0
ID61,Ecological importance,1
ID61,Connectivity,1
ID61,Sustainable use,1
ID61,Ecosystem services,0
ID61,International borders,0
