Paper_ID,Year_published,Objective_type,Guideline_type,From_paper,Scale,Document_type,Objectives_number,Geography
1,2023,Ecological and socioeconomic ,Ecological and socioeconomic,Western Australia,State/province,Government report,2,Australia/Oceania
2,2012,Ecological and socioeconomic ,Ecological only,Coral Triangle,Region,NGO report,3,Asia
3,2021,Ecological and socioeconomic ,All three,Mexico,Country,Journal article,2,North America
4,2013,Ecological and socioeconomic ,Ecological and socioeconomic,South Austalia,State/province,Journal article,5,Australia/Oceania
5,2015,Socioeconomic only,Socioeconomic only,Raja Ampat MPA Network,Location,Journal article,2,Asia
6,2008,Ecological and socioeconomic ,Ecological and socioeconomic,South Austalia,State/province,Government report,5,Australia/Oceania
7,2009,Ecological only,Ecological and socioeconomic,"Kimbe Bay, Papua New Guinea",Location,Journal article,1,Australia/Oceania
8,2003,Ecological and socioeconomic ,Ecological only,"Channel Islands, California",Location,Journal article,4,North America
9,2003,Socioeconomic only,Ecological only,General,Other,Journal article,1,Not Applicable/Other
10,2014,Ecological only,Ecological only,Coral Triangle,Region,Journal article,3,Asia
11,2003,Ecological only,Ecological only,General,Other,Journal article,2,Not Applicable/Other
12,2009,Ecological only,Ecological only,Mexico,Country,Journal article,1,North America
13,2009,Ecological only,Ecological only,Review,Other,Journal article,1,Not Applicable/Other
14,2013,Ecological only,Ecological only,California,State/province,Journal article,3,North America
15,2005,Ecological and socioeconomic ,Ecological only,"Great Barrier Reef, Australia",Location,Journal article,3,Australia/Oceania
16,2013,Ecological only,Ecological and socioeconomic,Clarion-Clipperton fracture zone,Location,Journal article,1,Not Applicable/Other
17,2008,Ecological only,Ecological only,General,Other,NGO report,1,Not Applicable/Other
18,2018,Ecological only,Ecological only,"Gulf of California, Mexico",State/province,Journal article,3,North America
19,2009,Ecological and socioeconomic ,Ecological only,"Great Barrier Reef, Australia",Location,Journal article,3,Australia/Oceania
20,1997,Ecological only,Ecological only,General,Other,Journal article,1,Not Applicable/Other
21,2016,Ecological only,Ecological only,General,Other,Journal article,1,Not Applicable/Other
22,2022,Socioeconomic only,Socioeconomic only,Indonesia,Country,Journal article,1,Not Applicable/Other
23,2019,Governance only,Governance only,General,Other,Journal article,1,Asia
24,2022,Ecological and socioeconomic ,Ecological and socioeconomic,"Algarve, south Portugal",Location,Journal article,3,Europe
25,2021,Ecological only,Ecological only,"Deep-sea azooxanthellate coral formation near Corales del Rosario y San Bernardo National Park, Colombia",Location,Journal article,1,South America
26,2020,Ecological only,Ecological only,Mexican Caribbean,State/province,Journal article,1,North America
27,2009,Ecological only,Ecological only,Australia's Commonwealth waters,Country,Government report,3,Australia/Oceania
28,2000,Socioeconomic only,Ecological and socioeconomic,"Exuma Cays Land and Sea Park, Bahamas",Location,Journal article,1,North America
29,2013,Ecological only,Ecological only,Mediterranean Sea,Region,NGO report,1,Not Applicable/Other
30,2009,Ecological only,Ecological only,"Bohol (Philippines), GBR (Australia), Kimbe Bay (Papua New Guinea)",Location,Journal article,1,Not Applicable/Other
31,2020,All three,All three,Indonesia,Country,NGO report,6,Asia
32,2021,Ecological only,Ecological only,Review,Other,Journal article,1,Not Applicable/Other
33,2003,Ecological only,Ecological only,Review,Other,Journal article,1,Not Applicable/Other
34,2023,Ecological and socioeconomic ,Ecological only,"Colombia, Nicaragua and Jamaica",Region,Journal article,2,South America
35,2016,Ecological only,Ecological only,Theorethical,Other,Journal article,1,Not Applicable/Other
